Index,Semester,Type,Course,Pre-Post,SI1,SI2,SI3,SI4,SI5,Science_ID_AVE,CM1,CM2,CM3,CM4,CM5,Career_Mot_AVE,IM1,IM2,IM3,IM4,IM5,Intrinsic_Mot_AVE,SD1,SD2,SD3,SD4,SD5,SelfDetermition_AVE,SE1,SE2,SE3,SE4,SE5,SelfEfficacy_AVE,GM1,GM2,GM3,GM4,GM5,Grade_Mot_AVE,Overall_SCI_MOT,Sci_Comp1,Sci_Comp2,Sci_Comp3,Sci_Comp4,Sci_Competancy_Ave,Per_Comm_Orient1,Per_Comm_Orient2,Per_Comm_Orient3,Per_Comm_Orient4,Persol_Comm_Orient_AVE,Sci_Comm_Orient1,Sci_Comm_Orient2,Sci_Comm_Orient3,Sci_Comm_Orient4,Sci_Comm_Orient_AVE,Resilience1,Resilience2,Resilience3,Resilience4,Resilience_AVE,Major,Career,Gender,Ethnicity,ParentsGradCollege,Dependents,Med-Condition,Med-Condition_Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fall 2021,Major,BIOL1610,Pre,5,5,5,3,3,4.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,5,3.5,5,6,6,4,5.25,5,5,5,5,5,,,,,,1,1,1,8,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fall 2021,Major,BIOL1610,Pre,5,4,3,4,4,4,4,3,3,5,5,4,5,3,3,4,4,3.8,5,4,5,4,4,4.4,4,5,4,5,5,4.6,4,4,5,4,4,4.2,4.2,3,3,3,3,3,5,5,5,5,5,4,5,5,5,4.75,,,,,,1,1,9,8,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fall 2021,Major,BIOL1610,Pre,4,4,3,3,1,3,2,2,2,2,4,2.4,2,4,3,3,1,2.6,2,2,3,3,3,2.6,2,2,2,2,2,2,2,2,2,2,3,2.2,2.36,4,4,4,4,4,5,4,4,4,4.25,4,4,4,4,4,,,,,,11,12,1,1,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fall 2021,Major,BIOL1610,Pre,2,4,2,4,3,3,1,1,1,1,1,1,4,4,4,4,5,4.2,5,5,4,4,3,4.2,4,4,4,4,4,4,5,5,5,5,4,4.8,3.64,3,4,1,4,3,5,6,6,6,5.75,5,5,5,5,5,,,,,,10,5,6,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Spring 2022,Non-Major,BIOL1010,Pre,3,5,5,5,3,4.2,2,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,3,5,5,5,4.5,3,3,3,3,3,3,3,3,3,3,,,,,,11,12,1,5,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Spring 2022,Non-Major,BIOL1010,Pre,3,4,3,4,4,3.6,1,2,2,1,2,1.6,1,1,3,3,1,1.8,2,2,2,3,2,2.2,3,3,3,2,2,2.6,4,2,2,2,3,2.6,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fall 2021,Major,BIOL1610,Pre,1,2,1,1,3,1.6,4,4,4,4,5,4.2,4,3,2,4,2,3,4,2,4,4,4,3.6,4,5,4,5,5,4.6,5,5,5,5,4,4.8,4.04,3,1,1,1,1.5,5,6,6,6,5.75,3,3,3,3,3,,,,,,10,5,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fall 2021,Non-Major,BIOL1010,Pre,5,5,5,5,5,5,5,5,5,4,3,4.4,5,5,5,5,5,5,4,4,4,4,4,4,3,2,2,2,4,2.6,5,4,5,4,4,4.4,4.08,3,5,3,5,4,7,7,7,6,6.75,6,7,6,7,6.5,,,,,,3,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fall 2021,Major,BIOL1610,Pre,4,5,4,5,5,4.6,5,5,5,5,5,5,5,4,5,4,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4.6,4.84,2,2,2,2,2,5,6,6,6,5.75,5,5,5,5,5,,,,,,10,5,6,10,No,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fall 2021,Major,BIOL1610,Pre,3,4,3,3,3,3.2,4,5,5,4,5,4.6,4,4,3,3,4,3.6,4,4,4,3,3,3.6,3,4,3,4,4,3.6,5,4,4,5,5,4.6,4,2,3,3,4,3,5,5,5,6,5.25,6,5,5,5,5.25,,,,,,10,5,6,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
