group,variable,mean,se
No Medical Experiences,Science Identity,3.213,0.0892
No Medical Experiences,Career Motivation,3.976034858,0.08335366
No Medical Experiences,Science Interest,4.22875817,0.072195795
No Medical Experiences,Self-Determination,3.832244009,0.079721893
No Medical Experiences,Self-Efficacy,4.069716776,0.064668306
No Medical Experiences,Value of Peers,3.980392157,0.073231633
No Medical Experiences,Sense of Belonging,3.6961,0.07752
No Medical Experiences,Science Engagement,3.411764706,0.088235294
No Medical Experiences,Community in Science,4.479302832,0.053792995
Medical Experiences,Science Identity,3.451,0.0774
Medical Experiences,Career Motivation,4.203442879,0.069173946
Medical Experiences,Science Interest,4.341158059,0.058711326
Medical Experiences,Self-Determination,4.064162754,0.061699455
Medical Experiences,Self-Efficacy,4.129890454,0.059621573
Medical Experiences,Value of Peers,4.009389671,0.069620237
Medical Experiences,Sense of Belonging,3.7336,0.06439
Medical Experiences,Science Engagement,3.580594679,0.070060057
Medical Experiences,Community in Science,4.546165884,0.03858848
