group,variable,mean,se
No Medical Experiences,Science Identity,3.043,0.0923
No Medical Experiences,Career Motivation,4.019607843,0.084386494
No Medical Experiences,Science Interest,4.154684096,0.075720125
No Medical Experiences,Self-Determination,3.906318083,0.064059912
No Medical Experiences,Self-Efficacy,4.14379085,0.06047727
No Medical Experiences,Value of Peers,4.013071895,0.062353475
No Medical Experiences,Sense of Belonging,3.5801,0.0759
No Medical Experiences,Science Engagement,3.1416122,0.092822986
No Medical Experiences,Community in Science,4.435729847,0.053744211
Medical Experiences,Science Identity,3.107,0.0793
Medical Experiences,Career Motivation,4.117370892,0.070581311
Medical Experiences,Science Interest,4.164319249,0.064509483
Medical Experiences,Self-Determination,4.031298905,0.062669187
Medical Experiences,Self-Efficacy,4.164319249,0.052619108
Medical Experiences,Value of Peers,3.96400626,0.064571951
Medical Experiences,Sense of Belonging,3.5822,0.06067
Medical Experiences,Science Engagement,3.208137715,0.072665978
Medical Experiences,Community in Science,4.535211268,0.041170929
