State,County,Sister County,Research Greenhouse (Y/N),Arabidopsis thaliana Present (Y/N) ,Zea mays Present (Y/N),Taraxacum officinale Present (Y/N),Brachypodium distachyon (Y/N),Nicotania sp. (Y/N),Model Researchers? (Y/N),Recorder (Last Name)
Alabama,Autauga County,Baldwin County,n,y,y,y,n,y,n,Bischoff
Alabama,Baldwin County,Barbour County,n,y,y,y,n,y,n,Bischoff
Alabama,Barbour County,Bibb County,n,y,y,y,n,y,n,Bischoff
Alabama,Bibb County,Blount County,n,y,y,y,n,y,n,Bischoff
Alabama,Blount County,Bullock County,n,y,y,y,n,y,n,Bischoff
Alabama,Bullock County,Butler County,y,y,y,y,n,y,n,Bischoff
Alabama,Butler County,Calhoun County,n,y,y,y,n,y,n,Bischoff
Alabama,Calhoun County,Chambers County,y,y,y,y,n,y,y,Bischoff
Alabama,Chambers County,Cherokee County,n,y,y,y,n,y,n,Bischoff
Alabama,Cherokee County,Chilton County,n,y,y,y,n,y,n,Bischoff
Alabama,Chilton County,Choctaw County,n,y,y,y,n,y,n,Bischoff
Alabama,Choctaw County,Clarke County,n,y,y,y,n,y,n,Bischoff
Alabama,Clarke County,Clay County,n,y,y,y,n,y,n,Bischoff
Alabama,Clay County,Cleburne County,n,y,y,y,n,y,n,Bischoff
Alabama,Cleburne County,Coffee County,n,y,y,y,n,y,n,Bischoff
Alabama,Coffee County,Colbert County,n,y,y,y,n,y,n,Bischoff
Alabama,Colbert County,Conecuh County,n,y,y,y,n,y,n,Bischoff
Alabama,Conecuh County,Coosa County,n,y,y,y,n,y,n,Bischoff
Alabama,Coosa County,Covington County,n,y,y,y,n,y,n,Bischoff
Alabama,Covington County,Crenshaw County,n,y,y,y,n,y,n,Bischoff
Alabama,Crenshaw County,Cullman County,n,y,y,y,n,y,n,Bischoff
Alabama,Cullman County,Dale County,n,y,y,y,n,y,n,Bischoff
Alabama,Dale County,Dallas County,n,y,y,y,n,y,n,Bischoff
Alabama,Dallas County,DeKalb County,n,y,y,y,n,y,n,Bischoff
Alabama,DeKalb County,Elmore County,n,y,y,y,n,y,n,Bischoff
